accession	domain	phylum	class	order	family	genus	species
GB_GCA_041694635.1	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	UBA969	UBA969 sp041694635
GB_GCA_902797515.1	Bacteria	Bacillota	Clostridia	Christensenellales	Borkfalkiaceae	UBA10281	UBA10281 sp902797515
GB_GCA_028724265.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	JAQYDG01	JAQYDG01 sp028724265
GB_GCA_913052635.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Luminiphilus sp913052635
GB_GCA_033447275.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia sp033447275
GB_GCA_019311105.1	Bacteria	Myxococcota_A	UBA9160	UBA9160	JAFDDA01	JAFDDA01	JAFDDA01 sp019311105
GB_GCA_018066065.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides faecihippi
RS_GCF_001584565.1	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Alkalithermobacter	Alkalithermobacter thermoalcaliphilus
GB_GCA_041165345.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	JBBKWH01	JBBKWH01 sp041165345
GB_GCA_031973615.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp031973615
GB_GCA_039925625.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermatophilaceae	Lapillicoccus	Lapillicoccus sp039925625
GB_GCA_017451695.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	HGM04593	HGM04593 sp017451695
GB_GCA_002839355.1	Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	UBA8525	UBA8525 sp002839355
GB_GCA_013416395.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Allopusillimonas	Allopusillimonas sp013416395
GB_GCA_036701385.1	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Microcoleaceae	Microcoleus	Microcoleus sp036701385
GB_GCA_963929525.1	Bacteria	Bacillota	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp946486515
GB_GCA_041677125.1	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	JACZKF01	JBAYQP01	JBAYQP01 sp041677125
RS_GCF_900016645.1	Bacteria	Bacillota	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Acididesulfobacillus	Acididesulfobacillus acetoxydans
GB_GCA_023432235.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Demequinaceae	Demequina	Demequina sp023432235
GB_GCA_946641515.1	Bacteria	Bacillota	Bacilli	RFN20	CAG-449	UBA3210	UBA3210 sp002363635
RS_GCF_963508575.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax_C	Rhodoferax_C sp963508575
GB_GCA_946614135.1	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_Q	Eubacterium_Q sp002371025
RS_GCF_004151235.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium anhuiense_A
GB_GCA_015494485.1	Bacteria	Calditrichota	Calditrichia	RBG-13-44-9	J042	WGBF01	WGBF01 sp015494485
GB_GCA_020847175.1	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	UBA1924	JADLCM01	JADLCM01 sp020847175
RS_GCF_900185595.1	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix_A	Calothrix_A rhizosoleniae
GB_GCA_900549675.1	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Scatolibacter	Scatolibacter sp900549675
GB_GCA_039798705.1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	CAIKLP01	CAIKLP01 sp039798705
GB_GCA_003535305.1	Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA7950	UBA7950	UBA7950 sp003535305
GB_GCA_002840165.1	Bacteria	Bacillota	Thermincolia	Thermincolales	UBA2595	GW-Firmicutes-8	GW-Firmicutes-8 sp002840165
GB_GCA_002420105.1	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_C	Nitrospira_C sp002420105
GB_GCA_963529005.1	Bacteria	Patescibacteriota	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Saccharimonas	Saccharimonas sp963529005
GB_GCA_021200215.1	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	UBA5884	UBA5884 sp021200215
RS_GCF_002631205.1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Neolewinella	Neolewinella marina
GB_GCA_029059965.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp029059965
GB_GCA_021817655.1	Bacteria	Patescibacteriota	Minisyncoccia	UBA6257	2-01-FULL-56-20	JAKAGE01	JAKAGE01 sp021817655
RS_GCF_017652985.1	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus_Z	Paenibacillus_Z artemisiicola
GB_GCA_018500075.2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MAG-120531	MAG-120531 sp018500075
GB_GCA_944325945.1	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	SIG32	SIG32 sp944325945
GB_GCA_023260315.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	RS62	RS62 sp023260315
GB_GCA_002727735.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Parvicellaceae	GCA-002727735	GCA-002727735 sp002727735
GB_GCA_023380475.1	Bacteria	Patescibacteriota	Minisyncoccia	UBA6257	Colwellbacteraceae	JAMCRD01	JAMCRD01 sp023380475
GB_GCA_902599105.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Pelagibacter sp902599105
RS_GCF_020480685.1	Bacteria	Chrysiogenota	Deferribacteres	Deferribacterales	Deferrivibrionaceae	Deferrivibrio	Deferrivibrio essentukiensis
GB_GCA_039916745.1	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Palsa-1315	Palsa-1315 sp039916745
RS_GCF_039935575.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermatophilaceae	Lapillicoccus	Lapillicoccus sp039935575
GB_GCA_019637675.1	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA11579	JAMCZK01	JAMCZK01 sp019637675
GB_GCA_002383375.1	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Rectinemataceae	UBA2256	UBA2256 sp002383375
RS_GCF_039621855.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	Erwinia sp900068895
RS_GCF_011682175.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria frigida
GB_GCA_944387205.1	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp944387205
GB_GCA_029254025.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	JALQTG01	JALQTG01 sp029254025
GB_GCA_041660305.1	Bacteria	Patescibacteriota	Patescibacteriia	UBA9570	UBA9570	JBAZWO01	JBAZWO01 sp041660305
GB_GCA_002308255.1	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Chordicoccus	Chordicoccus sp002308255
RS_GCF_040226305.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas sp040226305
GB_GCA_026169045.1	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Fimimorpha	Fimimorpha sp026169045
GB_GCA_025060555.1	Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	DTER01	DTER01 sp025060555
GB_GCA_017436675.1	Bacteria	Bacillota	Clostridia	Oscillospirales	CAG-382	UMGS1307	UMGS1307 sp017436675
GB_GCA_039829995.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Enterobacteriaceae_A	Buchnera_B	Buchnera_B aphidicola_AV
RS_GCF_001558155.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tropicimonas	Tropicimonas sabulilitoris
GB_GCA_032123435.1	Bacteria	Verrucomicrobiota	Kiritimatiellia	UBA8416	JAQBFJ01	JAQBFJ01	JAQBFJ01 sp032123435
RS_GCF_029392095.1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp029392095
RS_GCF_902167635.1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga vietnamensis
RS_GCF_902702915.1	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp900095395
GB_GCA_016280975.1	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Anaeroplasmataceae	Anaeroplasma	Anaeroplasma sp016280975
GB_GCA_027314645.1	Bacteria	Nitrospirota_A	Leptospirillia	Leptospirillales	Leptospirillaceae	UBA4572	UBA4572 sp027314645
GB_GCA_944326765.1	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Avelusimicrobium	Avelusimicrobium sp944326765
GB_GCA_002011425.1	Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	UBA3571	UBA3571 sp002011425
GB_GCA_002328805.1	Bacteria	Patescibacteriota	Dojkabacteria	SC72	SC72	UBA2177	UBA2177 sp002328805
RS_GCF_002850605.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Pasteurella	Pasteurella oralis
GB_GCA_039801845.1	Bacteria	WOR-3	WOR-3	UBA2258	DTDR01	DTDR01	DTDR01 sp039801845
GB_GCA_007129355.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	SKVR01	SKVR01 sp007129355
GB_GCA_000992695.1	Bacteria	Patescibacteriota	Gracilibacteria	UBA1369	UBA12463	UBA12463	UBA12463 sp000992695
GB_GCA_027296385.1	Bacteria	Acidobacteriota	Thermoanaerobaculia	Multivoradales	JAHEKO01	CALZKB01	CALZKB01 sp027296385
RS_GCF_002804205.1	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Williamsoniiplasma	Williamsoniiplasma freundtii
RS_GCF_022682305.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	Shinella zoogloeoides_B
GB_GCA_938003985.1	Bacteria	Verrucomicrobiota	Kiritimatiellia	LD1-PB3_B	Lenti-01	Lenti-01	Lenti-01 sp938003985
GB_GCA_035429685.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	DAOMFG01	DAOMFG01 sp035429685
GB_GCA_002455335.1	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA6663	UBA6663	UBA6663 sp002455335
GB_GCA_900760855.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp900760855
GB_GCA_963643215.1	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Darwinimomas	Darwinimomas sp963643215
RS_GCF_003231495.1	Bacteria	Cyanobacteriota	Cyanobacteriia	Thermosynechococcales	Thermosynechococcaceae	RCC1774	RCC1774 sp003231495
GB_GCA_944376225.1	Bacteria	Bacillota	Clostridia	Lachnospirales	Bianqueaceae	Faecimorpha	Faecimorpha sp944376225
GB_GCA_030749225.1	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Limisphaerales	UBA1096	UBA1096	UBA1096 sp030749225
RS_GCF_002778015.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Bartonella	Bartonella tribocorum_B
GB_GCA_900767675.1	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900767675
GB_GCA_022866045.1	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	UBA4085	JALHTW01	JALHTW01 sp022866045
RS_GCF_014207965.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas bullata_A
RS_GCF_004569295.1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia nasimurium_B
RS_GCF_001542625.1	Bacteria	Actinomycetota	Actinomycetes	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseochromogenes
RS_GCF_001456115.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium baderi_A
GB_GCA_004525885.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	GCA-2721545	GCA-2721545 sp004525885
RS_GCF_003003035.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Marinilabilia	Marinilabilia salmonicolor_A
RS_GCF_015207605.1	Bacteria	Cyanobacteriota	Cyanobacteriia	Elainellales	Elainellaceae	Oculatella	Oculatella sp015207605
RS_GCF_022780145.1	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Intestinibacter	Intestinibacter sp022780145
GB_GCA_019634835.1	Bacteria	Pseudomonadota	Gammaproteobacteria	DSM-16500	DSM-16500	Aquicella	Aquicella sp019634835
GB_GCA_943349825.1	Bacteria	Patescibacteriota	Gracilibacteria	UBA1369	2-02-FULL-48-14	GCA-016699145	GCA-016699145 sp943349825
RS_GCF_002895925.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mixta	Mixta theicola
