Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
10	:	1763303450.803	     0.110	0	119	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000820865.2_Bacillus_saudimassiliensis_JCA_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
12	:	1763303450.822	     0.105	0	221	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000828305.1_ASM82830v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
13	:	1763303450.872	     0.082	0	99	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000973085.1_ASM97308v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
14	:	1763303450.904	     0.088	0	219	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_001198735.1_6755_2_17_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
15	:	1763303450.920	     0.082	0	219	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_001201675.1_6753_3_17_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
16	:	1763303450.933	     0.118	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_001270235.1_ASM127023v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
17	:	1763303450.960	     0.098	0	219	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_001336215.1_6649_8_20_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
18	:	1763303451.000	     0.095	0	279	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_001464585.1_Gammaproteobacteria_bacterium_Ga0077554_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
19	:	1763303451.008	     0.113	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_001576205.1_ASM157620v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
21	:	1763303451.063	     0.082	0	100	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_001869765.1_ASM186976v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
20	:	1763303451.058	     0.120	0	200	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_001672855.1_ASM167285v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
23	:	1763303451.128	     0.082	0	100	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002070905.1_ASM207090v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
22	:	1763303451.102	     0.118	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002044645.1_ASM204464v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
24	:	1763303451.152	     0.107	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002098335.1_ASM209833v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
25	:	1763303451.185	     0.114	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002201815.1_ASM220181v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
26	:	1763303451.219	     0.087	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002220885.1_ASM222088v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
27	:	1763303451.224	     0.110	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002247505.1_ASM224750v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
28	:	1763303451.266	     0.086	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002291925.1_ASM229192v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
30	:	1763303451.312	     0.078	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002342325.1_ASM234232v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
29	:	1763303451.306	     0.101	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002326875.1_ASM232687v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
32	:	1763303451.359	     0.079	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002703345.1_ASM270334v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
31	:	1763303451.341	     0.108	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002464245.1_ASM246424v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
33	:	1763303451.396	     0.075	0	100	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002732975.1_ASM273297v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
34	:	1763303451.414	     0.106	0	223	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_002753015.1_ASM275301v1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
