Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1763303450.512	     0.095	0	279	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000635255.1_De_novo_assembly_of_single-cell_genomes_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
3	:	1763303450.509	     0.148	0	247	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000413415.1_Myro_odor_CCUG_12700_V1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
1	:	1763303450.501	     0.177	0	237	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000351625.1_Esch_coli_KTE66_V1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
2	:	1763303450.505	     0.178	0	237	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000408385.1_Esch_coli_KTE68_V1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
5	:	1763303450.643	     0.112	0	216	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000656455.1_Myco_tube_UT0014_V1_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
6	:	1763303450.665	     0.131	0	198	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000789835.1_AZPAE14851_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
7	:	1763303450.684	     0.125	0	198	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000795605.1_AZPAE14710_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
8	:	1763303450.688	     0.130	0	198	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000797395.1_AZPAE13756_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
9	:	1763303450.762	     0.102	0	198	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000811165.3_ASM81116v3_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
11	:	1763303450.816	     0.078	0	100	0	0	python3 '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/script/4-提取匹配序列.py' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/data/3-样本序列/GCA_000825945.1_Bangui-IP-6_genomic.faa' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/tbl_merge.tsv' '/mnt/f/OneDrive/文档（科研）/脚本/Download/17-Orthologous-genes/1-HMM/output/' --max-evalue '1e-20' --min-coverage '0.6' --min-length '180' --mode 'only_one' --model-length '225' 2>&1
